file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0117,query84_cluster_500G,84,500,gamma,4,28,38944,200,83642.0,5738.0,5,6943.0,6709.0,65,64343.0,5150.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0143,query20_cluster_500G,20,500,beta,7,26,38827,200,13624.0,2950.0,200,16741.0,7815.0,572,230141.0,18941.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0146,query84_cluster_500G,84,500,gamma,8,28,26122,200,92859.0,9410.0,65,71285.0,15438.0,9,9701.0,9570.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0130,query20_cluster_500G,20,500,beta,8,26,38205,200,9188.0,765.0,200,18920.0,10509.0,572,248142.0,21622.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0137,query84_cluster_500G,84,500,gamma,8,28,25209,200,108549.0,15631.0,9,15372.0,15054.0,65,72829.0,12561.0
spark-history/application_1597665317929_0150,query84_cluster_500G,84,500,gamma,8,28,25909,200,92502.0,9027.0,9,13718.0,13286.0,65,65725.0,10640.0

