file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1596699499837_0141,query20_cluster_500G,20,500,beta,4,26,79240,26,572,286206.0,7594.0,500.36013986013984
spark-history/application_1596699499837_0148,query52_cluster_500G,52,500,alpha,8,26,90241,27,200,44186.0,12165.0,220.93
spark-history/application_1596699499837_0148,query52_cluster_500G,52,500,alpha,8,26,90241,26,505,680896.0,143919.0,1348.308910891089
spark-history/application_1596699499837_0124,query20_cluster_500G,20,500,beta,8,26,50774,27,200,40002.0,11452.0,200.01
spark-history/application_1596699499837_0124,query20_cluster_500G,20,500,beta,8,26,50774,28,200,19227.0,9593.0,96.135
spark-history/application_1596699499837_0124,query20_cluster_500G,20,500,beta,8,26,50774,26,572,337742.0,22007.0,590.4580419580419
spark-history/application_1596699499837_0123,query52_cluster_500G,52,500,alpha,8,26,67619,27,200,37129.0,11555.0,185.645
spark-history/application_1596699499837_0123,query52_cluster_500G,52,500,alpha,8,26,67619,26,505,498142.0,28149.0,986.419801980198
spark-history/application_1596699499837_0115,query52_cluster_500G,52,500,alpha,8,26,82317,27,200,40812.0,13598.0,204.06
spark-history/application_1596699499837_0115,query52_cluster_500G,52,500,alpha,8,26,82317,26,505,611833.0,40544.0,1211.550495049505
